The board will reconvene at 10 a.m. tomorrow.	to reconvene<br>to meet again after a break<br>újra találkozik<br><br>
Administrators need to establish a close liaison with employees.	liaison (singular)<br>a relationship that allows different organizations or groups to work together and provide information to each other<br>kapcsolat<br><br>
She said it was quote, “time for a change,” unquote.	quote... unquote<br>spoken - used at the beginning and end of a word or phrase that someone else has said or written, to emphasize that you are repeating it exactly<br>idézem<br><br>
He said he's been living under, quote, unquote, “intense pressure.”	quote, unquote<br>spoken - used at the beginning and end of a word or phrase that someone else has said or written, to emphasize that you are repeating it exactly<br>idézem<br><br>
She had an unexpected windfall when a cousin died.	windfall<br>an unexpected amount of money that you get as a gift, prize, etc.<br>windfall, váratlan pénz<br><br>
The computer took a minute to download the file. Well, technically it took 53 seconds.	technically<br>according to a very strict explanation of a rule, fact, etc.<br>tulajdonképpen, igazából<br><br>
She always strives for perfection.	to strive, strove, striven for sg<br>formal - to try very hard to do or achieve something<br>törkekszik valamire<br><br>
Ultimately, you'll have to make the decision yourself.	ultimately<br>in the end; finally<br>végül, végső soron<br><br>
to hold an international forum on drug abuse	forum on sg<br>an organization, meeting, TV programme etc where people have a chance to publicly discuss an important subject<br>fórum valamiről<br><br>
The journal aims to provide a forum for discussion and debate.	forum for sg<br>an organization, meeting, TV programme etc where people have a chance to publicly discuss an important subject<br>fórum valamihez<br><br>
We hope to get funding to digitize the library's archive collection.	to digitize sg<br>to put information into a digital form<br>digitalizál valamit<br><br>
Digitalization is the use of digital technologies to change a business model and provide new revenue and value-producing opportunities. It is the process of moving to a digital business	digitalization<br>digitalization<br>digitalizáció<br><br>
Police believe he is involved in an international smuggling racket.	racket<br>a business that makes money through illegal activities<br>(illegális) tevékenység<br><br>
A tailwind is a wind that blows in the direction of travel of an object.	tailwind<br>a wind that blows from behind a moving vehicle, a runner, etc.<br>hátszél<br><br>
a company experiencing tailwinds from increased consumer demand.	tailwinds<br>Informal - favorable economic conditions<br>hátszél<br><br>
I didn't really want to go but he insisted.	to insist<br>to demand that something happen or that someone do something<br>ragaszkodik<br><br>
She insisted that I should go.	to insist that<br>to demand that something happen or that someone do something<br>ragaszkodik ahhoz, hogy<br><br>
I hopped in the car and headed down the street.	to head<br>to go in a specified direction or toward a specified place<br>valamerre megy, valamerre indul<br><br>
After lunch, we headed back to the office.	to head<br>to go in a specified direction or toward a specified place<br>valamerre megy, valamerre indul<br><br>
We headed south towards the capital.	to head<br>to go in a specified direction or toward a specified place<br>valamerre megy, valamerre indul<br><br>
Where are you heading? = Where are you headed? [=where are you going?]	to be heading = to be headed<br>To be heading or headed somewhere is to be going or directed somewhere.<br>valahová tart<br><br>
The ship was heading/headed out to sea.	to be heading = to be headed<br>To be heading or headed somewhere is to be going or directed somewhere.<br>valahová tart<br><br>
The economy may be heading into a recession.	to head<br>to go in a specified direction or toward a specified place - often used figuratively<br>valahová tart<br><br>
I consider her a friend.	to consider sy<br>to think of somebody/something in a particular way<br>tekint, tart valaminek<br><br>
He's generally considered to have the finest tenor voice in the country.	to consider sy to be / have sg<br>to think of somebody/something in a particular way<br>tekint, tart<br><br>
He considers himself an expert on the subject.	to consider yourself + noun<br>to think of somebody/something in a particular way<br>tekinti, tartja magát<br><br>
They will take any steps they consider necessary.	to consider sy + adj.<br>to think of somebody/something in a particular way<br>tekint, tart<br><br>
You should consider this as a long-term investment.	to consider sg as sg<br>to think of somebody/something in a particular way<br>valamiként tekint, tart<br><br>
She considers that it is too early to form a definite conclusion.	to consider that<br>to think of somebody/something in a particular way<br>tekint, tart, vél<br><br>
Consider yourself lucky/fortunate that you survived the accident. [=you are lucky to have survived the accident]	to consider yourself lucky / fortunate<br>to think of somebody/something in a particular way<br>szerencsésnek tart<br><br>
